purpose,consolidated_purpose_of_hearing
Production of documents,Miscellaneous
Appearance Report,Miscellaneous Appearance
Appearance / Copy,Miscellaneous Appearance
Statement of the Complainant,Prosecution Evidence
Argument / Necessary Order,Miscellaneous Order
Show Cause,Miscellaneous
Cross-examination,Other Evidence
Statement Defence and amp Argument,Defence Evidence
Appereance of parties/ advocates,Miscellaneous Appearance
M.O. and amp I.O.,Prosecution Evidence
Copies,Miscellaneous Appearance
Report of N.B.W.A,Miscellaneous Appearance
Steps for summon,Miscellaneous
Proper O,Miscellaneous Order
Misc. cases,Miscellaneous
Plaintiff/Petitioner Evidence,Prosecution Evidence
Misc./ Appearance (Criminal),Miscellaneous Appearance
Proper Order,Miscellaneous Order
Argument On Charge,Charge
JUDGEMENT (Criminal),Judgement
Order/Argument on Sentence,Sentence
Misc./ Arguments,Miscellaneous Arguments
AIR-Applications,Miscellaneous
Final Arguments (Criminal),Final Arguments
Arguments (Criminal),Final Arguments
Order on charge,Charge
Arguments on Sentence,Sentence
Order on Sentence,Sentence
ORDER (Criminal),Miscellaneous Order
Complainaint Evidence,Prosecution Evidence
Frame of Charge,Charge
Order/Judgment,Judgement
Final Argument,Final Arguments
Order/Judgement,Judgement
Proper.Order.,Miscellaneous Order
Misc. cases/purpose,Miscellaneous
Arguments On Charge,Charge
Order/ Judgement,Judgement
Misc. cases / purpose,Miscellaneous
Plaintiff/ Petitioner Evidence,Prosecution Evidence
Defendant/Respondent Evidence,Defence Evidence
Order On Charge,Charge
Defendant/Respondent Evidences,Defence Evidence
Misc.Cases/purpose,Miscellaneous
Order on Application,Miscellaneous Order
Proper. Order.,Miscellaneous Order
Defendant/ Respondent Evidence,Defence Evidence
Proper Orders,Miscellaneous Order
Pre-Summning Evidence,Other Evidence
P,P
FRESH APPLICATION,Miscellaneous
Order on Misc. Application,Miscellaneous Order
Awaiting  report,Miscellaneous
